text,label
I love this!,positive
This is amazing!,positive
Very good service,positive
I enjoyed it a lot,positive
Fantastic product,positive
This made me happy,positive
I’m very satisfied,positive
Highly recommended,positive
Absolutely great,positive
Pleasant experience,positive
I like this,positive
Really good,positive
Thumbs up,positive
Exceeded expectations,positive
Well done,positive
Happy customer,positive
Loved it,positive
Great support,positive
Wonderful team,positive
Perfect!,positive
Okay,neutral
It’s fine,neutral
Nothing special,neutral
Neutral about it,neutral
Can’t say much,neutral
Just okay,neutral
Average quality,neutral
Decent enough,neutral
No strong feelings,neutral
Not bad,neutral
Could be better,neutral
Satisfactory,neutral
Neither good nor bad,neutral
It’s alright,neutral
Moderate experience,neutral
Fine overall,neutral
Typical experience,neutral
Standard,neutral
Fair service,neutral
Acceptable,neutral
I hate this,negative
Worst ever,negative
Terrible product,negative
Very disappointing,negative
Absolutely awful,negative
I’m angry,negative
Don’t like it,negative
Not satisfied,negative
Poor quality,negative
Bad experience,negative
Regret buying this,negative
Unhappy with the service,negative
It’s terrible,negative
Pathetic,negative
Horrible,negative
Never again,negative
So bad,negative
Useless,negative
Disgusting,negative
Product broke,negative
Not worth it,negative
Waste of money,negative
Too expensive,negative
Misleading,negative
Poor performance,negative
Wouldn’t recommend,negative
Trash,negative
No help at all,negative
Rude support,negative
Unsatisfactory,negative
Five stars!,positive
I’m impressed,positive
Awesome product,positive
Superb,positive
Totally worth it,positive
Just average,neutral
Neutral feeling,neutral
Indifferent,neutral
It’s not bad,neutral
Neither liked nor hated,neutral
Not amazing,neutral
Undecided,neutral
Okayish,neutral
Meh,neutral
So-so,neutral
Love the app,positive
Exceptional experience,positive
Thanks for this,positive
Worked well,positive
It helped me a lot,positive
Not useful,negative
No difference,neutral
Unimpressive,negative
Failing constantly,negative
Can’t recommend,negative
Best ever,positive
Cool and easy,positive
Reliable,positive
Trustworthy,positive
Smooth experience,positive
